seed,v3_len_0,v3_col_0,v3_time_0,v3_len_5,v3_col_5,v3_time_5,v5_len_0,v5_col_0,v5_time_0,v5_len_5,v5_col_5,v5_time_5
1,709.1515443241154,1,7.008335590362549,677.6455156261409,3,7.884505987167358,610.6399268690814,0,18.58585262298584,662.5514348836716,0,45.3372700214386
2,553.0040931042906,1,6.1435370445251465,610.4607146990246,2,8.254509925842285,515.0774915137043,0,33.10663294792175,585.5905367397089,1,92.1610255241394
3,716.9492424132,7,6.860828638076782,564.4908586462133,5,7.565415382385254,507.1200394407275,2,54.45835041999817,531.6211820139746,3,149.61447501182556
4,572.2823055803461,2,6.291166067123413,698.8914845117589,4,7.7869884967803955,484.24311945362496,0,68.11292791366577,497.2831049370032,0,112.77307033538818
5,580.9526052926436,4,6.934910774230957,715.2670645043786,5,8.920876741409302,635.4015990666767,1,235.13709998130798,767.0352361522961,4,619.5142614841461
6,549.5761579589677,3,6.570903062820435,541.9414671369645,4,7.156533718109131,398.01765155076123,0,56.50686168670654,574.2162661980645,2,223.21816515922546
7,508.2887470051802,0,6.428822040557861,799.9053621888107,6,8.975600481033325,451.8064561465348,0,18.464326858520508,557.2355821377478,2,172.8268506526947
8,632.7663336269627,1,7.0497918128967285,652.4229380505242,2,7.850637674331665,597.0853099560699,0,89.00038003921509,673.1916477080697,4,446.7235608100891
9,612.3657060829023,1,6.200400114059448,588.7041639739859,3,8.153952598571777,529.518927116976,1,63.7598557472229,621.9539414172281,1,195.92214131355286
10,525.988761219802,1,5.9691245555877686,678.5985869264133,1,7.9427900314331055,633.1341947446933,0,15.91445517539978,537.446073230401,1,103.6427218914032
11,610.9850856049624,1,7.195658206939697,703.7125726180842,4,7.797907590866089,524.7098592177005,0,65.26655316352844,586.8032771849801,1,185.60979890823364
12,589.8335825390254,1,6.504929304122925,640.299704693442,3,8.359699010848999,525.0029493829736,0,47.63234519958496,555.7759535107537,2,132.70764231681824
13,622.2247587863437,4,6.8346617221832275,675.0556884091657,7,7.448067903518677,492.1323073706146,0,29.4511775970459,593.2543293212343,2,122.81186270713806
14,538.540534578111,2,6.305027723312378,615.2090453050229,7,7.210963726043701,576.9005629555143,3,338.1102385520935,558.2393358781549,1,312.4791774749756
15,568.9791173626712,2,6.458197355270386,914.1300967634346,7,9.609762191772461,536.0941467678502,1,125.6720974445343,600.1580493773689,2,107.42369866371155
16,575.809428412943,1,6.497759580612183,608.5513140549891,0,7.544285535812378,512.5802285153368,0,66.97407388687134,617.3319412257094,0,54.69058537483215
17,570.3786549405216,2,6.647723197937012,611.3162999802244,1,7.846433162689209,504.53750728735315,0,17.965748071670532,546.6469101633986,0,20.620205640792847
18,504.84683811598495,2,5.848195791244507,714.8993618062221,7,7.674503326416016,587.8832791325003,1,98.70273756980896,641.3401745990028,1,121.16567611694336
19,554.9992656592543,3,5.531101703643799,699.8956140534466,1,7.423841238021851,501.2532144944461,1,166.32411170005798,626.8905670648811,2,172.02436780929565
20,596.435909581727,2,6.6040637493133545,577.7513252857311,7,6.9472126960754395,485.0381623849005,2,77.20638370513916,549.7558176857211,6,396.7505259513855
21,520.5246142743927,5,5.9660584926605225,598.5568489864581,7,6.7003278732299805,542.5095266621207,3,301.26403164863586,563.0378260663094,3,227.56939363479614
22,664.2210788292384,1,7.261386394500732,713.5066084512152,2,8.011252641677856,562.3581858992502,2,210.40333604812622,590.2099126757679,0,131.86907029151917
