seed,base_col,base_len,base_time,corridor_col,corridor_len,corridor_time,car_col,car_len,car_time
51,2,440.31623582923385,77.80175542831421,3,474.54165140100037,17.015201091766357,3,477.7274596330501,23.23283624649048
52,0,500.5797565868122,4.4586310386657715,0,538.7701677475817,10.005879640579224,0,538.8414040278793,13.074246644973755
53,4,519.370101364968,108.29072594642639,2,459.2800639825828,7.501653432846069,2,459.24481965893546,9.442671537399292
54,0,500.02357017379006,82.78755903244019,1,531.1995681371714,6.599703788757324,1,531.1995681371714,7.6348206996917725
55,0,561.8047038766811,30.710872411727905,0,473.9214532928456,2.729759693145752,0,473.9214532928456,2.6591579914093018
56,0,514.284460324131,27.78659677505493,2,411.7947220740076,8.688112258911133,3,411.71950849800777,19.2157781124115
57,1,497.5546666646641,74.2814428806305,0,604.6608877265467,8.316317081451416,0,604.6608877265467,10.645986080169678
58,0,510.4881613896151,24.52283763885498,0,593.1238488812238,6.063109874725342,0,593.0477359115472,8.620795965194702
59,5,540.5450558186136,139.7830069065094,3,504.64952658756,17.531922817230225,3,495.8193706684983,20.156006336212158
60,3,545.2660792574175,103.31760692596436,1,492.4126801938468,6.798047304153442,1,492.4126801938468,8.129665613174438
61,0,525.6106782771157,11.422755241394043,0,612.1912191432983,11.42655873298645,0,611.8776490714303,16.172657012939453
62,0,494.5375397221394,31.82431650161743,2,507.73070131718293,17.908758640289307,2,501.33362710853476,30.010305643081665
63,1,596.115431846103,143.8030412197113,0,520.5811021288449,4.7692248821258545,0,482.8461945631742,12.214600324630737
64,3,448.4946134208274,81.43605446815491,3,430.07667171472747,18.49445104598999,4,429.51838108729095,29.40417766571045
65,0,507.4354174031561,7.282837390899658,2,499.16381740069374,11.915921688079834,2,498.9893008373662,13.975397825241089
66,3,488.2829401460913,110.55024886131287,0,441.02771269201224,8.438064575195312,0,439.95020463321737,15.644938707351685
67,0,536.2331932859024,39.942864179611206,0,499.606246182576,8.599171161651611,0,498.73831471927303,10.35556960105896
68,0,522.8495892955488,8.734754800796509,0,393.6623923812989,2.994215250015259,0,393.6623923812989,3.014458417892456
69,1,421.1347090312356,63.17863392829895,0,492.45470409695224,8.103013753890991,0,492.293553048613,8.594457149505615
70,1,521.5318688211734,40.15487289428711,1,519.19454489927,8.182069063186646,1,519.0794697243009,10.047214269638062
71,0,509.3380381276908,31.450973749160767,1,470.8604365631634,7.311147928237915,0,439.5562390933732,4.823358535766602
72,1,457.84449329319676,65.13197326660156,0,489.2125663898432,6.406446695327759,0,496.6415117418689,9.792542934417725
